N,GFLOPS_per_core
8,1.221957
40,6.716956
72,6.833330
104,6.849968
136,6.944561
168,6.957875
200,6.990696
232,7.027096
264,6.990120
296,6.996191
328,7.006166
360,6.993380
392,6.925081
424,6.869558
456,6.831249
488,6.686688
520,6.703736
552,6.966021
584,6.804549
616,6.780894
648,6.842864
680,6.843712
712,6.979505
744,6.991709
776,6.972455
808,6.877789
840,7.056563
872,6.993715
904,7.051663
936,7.038062
968,7.087356
1000,7.087650
1032,7.077758
1064,7.079317
1096,7.115876
1128,7.060658
1160,7.050614
1192,7.082184
1224,7.063753
1256,6.943503
1288,6.766024
1320,6.758327
1352,6.741713
1384,6.764057
1416,6.625896
1448,6.751390
1480,6.618589
1512,6.640932
1544,6.405231
1576,6.479355
1608,6.533886
1640,6.400031
1672,6.461589
1704,6.469608
1736,6.436073
1768,6.451304
1800,6.292648
1832,6.426078
1864,6.406591
1896,6.401583
1928,6.359673
1960,6.386162
1992,6.372842
