N,GFLOPS_per_core
8,0.000800
40,1.361700
72,4.524200
104,10.043400
136,8.556000
168,24.441400
200,23.021600
232,9.546800
264,24.915000
296,25.601500
328,24.344600
360,24.344400
392,31.017700
424,28.900500
456,27.025500
488,45.061800
520,30.821600
552,28.690300
584,31.873400
616,30.937100
648,31.876500
680,30.692800
712,31.991500
744,45.117300
776,60.474800
808,63.058300
840,65.007300
872,63.743000
904,64.696000
936,65.765200
968,65.554100
1000,71.000000
1032,70.500000
1064,75.100000
1096,70.400000
1128,77.000000
1160,73.400000
1192,75.400000
1224,70.300000
1256,75.900000
1288,74.900000
1320,76.700000
1352,74.400000
1384,76.700000
1416,77.700000
1448,74.300000
1480,79.000000
1512,77.400000
1544,70.200000
1576,74.400000
1608,75.200000
1640,74.900000
1672,77.400000
1704,80.200000
1736,76.100000
1768,77.800000
1800,78.300000
1832,76.300000
1864,76.900000
1896,80.100000
1928,76.900000
1960,76.800000
1992,78.800000
