N,GFLOPS_per_core
8,3.417605
40,11.780677
72,22.574232
104,26.731480
136,27.170382
168,27.286445
200,28.097922
232,28.437708
264,27.360234
296,27.644423
328,27.942917
360,28.036330
392,27.874627
424,28.399124
456,28.281413
488,28.443814
520,28.110285
552,30.032690
584,29.749695
616,30.618571
648,30.587511
680,30.216849
712,30.774769
744,31.628244
776,31.270912
808,33.149015
840,31.513494
872,31.870821
904,32.051336
936,32.557623
968,31.769200
1000,32.220130
1032,31.971976
1064,32.598737
1096,32.786166
1128,32.478859
1160,32.525027
1192,32.362662
1224,31.776554
1256,30.799291
1288,30.152652
1320,29.917553
1352,29.741738
1384,29.603170
1416,28.897548
1448,29.420871
1480,28.593788
1512,28.430117
1544,27.546956
1576,28.173857
1608,28.240240
1640,27.737773
1672,27.837565
1704,27.690636
1736,27.975307
1768,27.640597
1800,27.325220
1832,27.530006
1864,27.567164
1896,27.422771
1928,27.345346
1960,27.409738
1992,27.372187
