partner,host,class,socket,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,m_eager_next_bytes,eager_score
0,ccc0392.campuscluster.illinois.edu,self,0,1.27854e-06,1.264933e-06,1.0554499780448701e-09,7.579705496625533,32.4259198999417,1011,8088,8224,0.24491016161311288
1,ccc0392.campuscluster.illinois.edu,intra,1,1.0159525e-06,1.007231e-06,7.46398337537145e-10,10.718137484600005,22.893306864999424,1011,8088,8224,0.3259799303391358
2,ccc0392.campuscluster.illinois.edu,intra,0,1.1180955e-06,1.1180955e-06,1.0531712398010762e-09,7.596105645185531,22.601014340254295,1011,8088,8224,0.2391237412604519
3,ccc0392.campuscluster.illinois.edu,intra,1,1.01738e-06,1.01738e-06,7.460796630952621e-10,10.72271554328446,22.902584136832868,1011,8088,8224,0.2795697767885422
4,ccc0392.campuscluster.illinois.edu,intra,0,1.113071e-06,1.113071e-06,1.0620105232476329e-09,7.532882042953741,22.594706253362148,1011,8088,8224,0.2476513629893319
5,ccc0392.campuscluster.illinois.edu,intra,1,1.0091345e-06,1.0091345e-06,7.471501988405912e-10,10.707351764630724,22.86006479212058,1011,8088,8224,0.28336494290134717
6,ccc0392.campuscluster.illinois.edu,intra,0,1.1147195e-06,1.1147195e-06,1.0573276522307433e-09,7.5662449413118535,22.590071917183604,1011,8088,8224,0.23489528866268253
7,ccc0392.campuscluster.illinois.edu,intra,1,1.022194e-06,1.022194e-06,7.486590625803771e-10,10.685771935260728,22.90936897812939,1011,8088,8224,0.2812398077730302
8,ccc0392.campuscluster.illinois.edu,intra,0,1.1168985e-06,1.1168985e-06,1.0582380242425479e-09,7.559735916431597,22.585397860960914,1011,8088,8224,0.23843747499702725
9,ccc0392.campuscluster.illinois.edu,intra,1,1.0206465e-06,1.0206465e-06,7.472500685176986e-10,10.70592073128799,22.89639294802147,1011,8088,8224,0.28327674409822234
10,ccc0392.campuscluster.illinois.edu,intra,0,1.1123245e-06,1.1123245e-06,1.0601869249543027e-09,7.545839145625027,22.584341429757824,1011,8088,8224,0.23722580373312255
11,ccc0392.campuscluster.illinois.edu,intra,1,1.0161875e-06,1.0161875e-06,7.468841586079426e-10,10.71116572469626,22.88217502627148,1011,8088,8224,0.28807807052011614
12,ccc0392.campuscluster.illinois.edu,intra,0,1.1137875e-06,1.1137875e-06,1.053076064888335e-09,7.596792166051459,22.45842369578628,1011,8088,8224,0.2389916192008514
13,ccc0392.campuscluster.illinois.edu,intra,1,1.0160175e-06,1.0160175e-06,7.47191183183931e-10,10.70676445338983,22.884336999205633,1011,8088,8224,0.2817771496669633
14,ccc0392.campuscluster.illinois.edu,intra,0,1.1186065e-06,1.1186065e-06,1.0813599312521357e-09,7.398091762782984,22.60702518820073,2036,16288,16552,0.2534573516842165
15,ccc0392.campuscluster.illinois.edu,intra,1,1.0206415e-06,1.0149e-06,7.479660869831609e-10,10.69567208891398,22.8086135969366,1011,8088,8224,0.28345855284282184
16,ccc0392.campuscluster.illinois.edu,intra,0,1.134652e-06,1.134652e-06,1.0552640039634853e-09,7.581041303363571,22.643469502339098,1011,8088,8224,0.23687930043896757
