partner,host,class,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,eager_score
0,ccc0391.campuscluster.illinois.edu,self,7.00294e-07,6.61305e-07,8.65002461175553e-11,92.48528598552038,44.238486904318115,1011,8088,1.219125231168874
1,ccc0391.campuscluster.illinois.edu,intra,1.285586e-06,1.1500005e-06,3.2211531377815754e-10,24.835826357233177,84.45050056049253,1011,8088,0.7429588623184431
2,ccc0391.campuscluster.illinois.edu,intra,1.140703e-06,1.140703e-06,5.48651862521425e-10,14.58119537448503,22.620491968932033,1011,8088,0.5907599357835327
3,ccc0391.campuscluster.illinois.edu,intra,1.042378e-06,1.042378e-06,3.060205179606496e-10,26.142037969587054,22.888954278880988,1011,8088,0.7089427839515073
4,ccc0391.campuscluster.illinois.edu,intra,1.203877e-06,1.203877e-06,5.592036371378562e-10,14.306058596017001,22.79462916444563,1011,8088,0.600812580332247
5,ccc0391.campuscluster.illinois.edu,intra,1.0450075e-06,1.0450075e-06,2.880175471748488e-10,27.77608544504195,22.902300415090913,1011,8088,0.7461781540172105
6,ccc0391.campuscluster.illinois.edu,intra,1.1849415e-06,1.1849415e-06,5.862144175189661e-10,13.646883735576449,22.73098111819709,1011,8088,0.6107202077686511
7,ccc0391.campuscluster.illinois.edu,intra,1.04871e-06,1.043725e-06,2.930561422093907e-10,27.29852355144955,22.91332174948923,1011,8088,0.7242340220592096
8,ccc0391.campuscluster.illinois.edu,intra,1.225803e-06,1.225803e-06,5.174575882172517e-10,15.460204241204876,22.861053895407483,1011,8088,0.561462988171511
9,ccc0391.campuscluster.illinois.edu,intra,1.045253e-06,1.043951e-06,2.8623917997619607e-10,27.94865469033725,22.896191630466078,1011,8088,0.7168162003188142
10,ccc0391.campuscluster.illinois.edu,intra,1.149389e-06,1.149389e-06,5.332327149697538e-10,15.002830425462136,22.619469123215392,1011,8088,0.5745010691172917
11,ccc0391.campuscluster.illinois.edu,intra,1.0496115e-06,1.0465455e-06,3.047218211305918e-10,26.253452970050063,22.91482630659951,1011,8088,0.6936357097477824
12,ccc0391.campuscluster.illinois.edu,intra,1.2152185e-06,1.2152185e-06,4.923041402956232e-10,16.2501172449943,22.82213465555873,1011,8088,0.5624600343002356
13,ccc0391.campuscluster.illinois.edu,intra,1.049321e-06,1.049321e-06,3.089659353746485e-10,25.892822101243276,22.900747651533674,1011,8088,0.719809377735187
14,ccc0391.campuscluster.illinois.edu,intra,1.17095e-06,1.17095e-06,5.538542854337778e-10,14.444232373745042,22.70002498154005,1011,8088,0.5865786851238034
15,ccc0391.campuscluster.illinois.edu,intra,1.0521015e-06,1.0501775e-06,3.0122759828700983e-10,26.557991517024266,22.903873951581257,1011,8088,0.7203853800189595
16,ccc0391.campuscluster.illinois.edu,intra,1.216135e-06,1.216135e-06,5.208552815760592e-10,15.359352747259758,22.839280307720987,1011,8088,0.5638376709261255
17,ccc0391.campuscluster.illinois.edu,intra,1.3274895e-06,1.168004e-06,,,116.57382535302202,1011,8088,0.7447419490675623
18,ccc0391.campuscluster.illinois.edu,intra,1.1537125e-06,1.137968e-06,3.65252337264288e-10,21.902666140124897,27.39426582033981,1011,8088,0.5635512525388047
19,ccc0391.campuscluster.illinois.edu,intra,1.0320285e-06,1.0315125e-06,3.095097491546203e-10,25.84732798191594,28.928931071446417,1011,8088,0.7122689760525258
20,ccc0391.campuscluster.illinois.edu,intra,1.1995635e-06,1.1995635e-06,4.875553257374538e-10,16.408394243052452,22.777392427230794,1011,8088,0.606970466087033
21,ccc0391.campuscluster.illinois.edu,intra,1.0452335e-06,1.0432745e-06,3.0188595075757324e-10,26.500073885267778,22.902183662822242,1011,8088,0.7352578853229156
22,ccc0391.campuscluster.illinois.edu,intra,1.2259535e-06,1.2259535e-06,4.976571384461485e-10,16.075324519565154,22.862963878309586,1011,8088,0.5949840954557386
23,ccc0391.campuscluster.illinois.edu,intra,1.0459345e-06,1.0459345e-06,3.0344003975517657e-10,26.364351937386413,22.891234889704574,1011,8088,0.7033863242498921
24,ccc0391.campuscluster.illinois.edu,intra,1.2031305e-06,1.2031305e-06,5.1782323910429e-10,15.449287316339994,22.781200777458164,1011,8088,0.5629239458461808
25,ccc0391.campuscluster.illinois.edu,intra,1.0458245e-06,1.044071e-06,3.1621267444639807e-10,25.299428664603067,22.896470757643296,1011,8088,0.7329057943715533
26,ccc0391.campuscluster.illinois.edu,intra,1.21613e-06,1.21613e-06,1.8543972948355532e-09,4.314070141430742,22.815535426422755,1011,8088,0.56095352423833
27,ccc0391.campuscluster.illinois.edu,intra,1.054726e-06,1.04877e-06,2.600181243334012e-10,30.767086027211764,22.858108654801036,1011,8088,1.0030622147757813
28,ccc0391.campuscluster.illinois.edu,intra,1.145928e-06,1.145928e-06,5.246204524652974e-10,15.249119553777183,22.62224014552629,1011,8088,0.5814554058982973
29,ccc0391.campuscluster.illinois.edu,intra,1.0867365e-06,1.045113e-06,2.9758878246147025e-10,26.882733730179446,28.240594922588993,1011,8088,0.7099552605782086
30,ccc0391.campuscluster.illinois.edu,intra,1.216471e-06,1.216471e-06,5.400564332190119e-10,14.813266740136614,22.816629420829837,1011,8088,0.5720238722898658
31,ccc0391.campuscluster.illinois.edu,intra,1.050323e-06,1.0494565e-06,2.979608178617372e-10,26.849167811427613,22.909838781715766,1011,8088,0.7078563067620733
32,ccc0391.campuscluster.illinois.edu,intra,1.181234e-06,1.1244775e-06,5.536719232106163e-10,14.448989852347644,30.897711803826507,1011,8088,0.5694773561715194
33,ccc0391.campuscluster.illinois.edu,intra,1.081181e-06,1.0475575e-06,2.9311775875024116e-10,27.292785104899135,28.187999792226904,1011,8088,0.731669198114312
34,ccc0391.campuscluster.illinois.edu,intra,1.20024e-06,1.20024e-06,5.262082367845113e-10,15.203106756529353,22.78664495605022,1011,8088,0.5630735047302013
35,ccc0391.campuscluster.illinois.edu,intra,1.093339e-06,1.042007e-06,2.9538037150714604e-10,27.083722453123322,31.07761594987079,1011,8088,0.7148994207117018
36,ccc0391.campuscluster.illinois.edu,intra,1.1935825e-06,1.1935825e-06,5.400929043263656e-10,14.812266437712328,22.756325471297398,1011,8088,0.5517669772226952
37,ccc0391.campuscluster.illinois.edu,intra,1.0697495e-06,1.0467515e-06,3.0008141641896543e-10,26.659431615154134,22.98743896430488,1011,8088,0.7316489192584271
38,ccc0391.campuscluster.illinois.edu,intra,1.198702e-06,1.198702e-06,5.369060582105099e-10,14.90018575440131,22.7662037741787,1011,8088,0.5558543412759201
39,ccc0391.campuscluster.illinois.edu,intra,1.0473425e-06,1.042518e-06,3.0163841753979694e-10,26.52182061306734,22.898481037491855,1011,8088,0.6919404132172248
