# P=192 nodes=2 M=191 msg_vol=100000 nsizes=500 host0=ccc0391.campuscluster.illinois.edu cpu0=0 socket0=0 date=2026-09-14T23:25:31
partner,partner_host,partner_cpu,partner_socket,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0391.campuscluster.illinois.edu,0,0,self,1,8,1000,1.268549000e-06,6.3064
0,ccc0391.campuscluster.illinois.edu,0,0,self,2,16,1000,1.259051000e-06,12.7080
0,ccc0391.campuscluster.illinois.edu,0,0,self,3,24,1000,1.407822000e-06,17.0476
0,ccc0391.campuscluster.illinois.edu,0,0,self,4,32,1000,1.411238000e-06,22.6751
0,ccc0391.campuscluster.illinois.edu,0,0,self,5,40,1000,1.423831000e-06,28.0932
0,ccc0391.campuscluster.illinois.edu,0,0,self,6,48,1000,1.429812000e-06,33.5708
0,ccc0391.campuscluster.illinois.edu,0,0,self,7,56,1000,1.715421000e-06,32.6450
0,ccc0391.campuscluster.illinois.edu,0,0,self,8,64,1000,1.710071000e-06,37.4253
0,ccc0391.campuscluster.illinois.edu,0,0,self,9,72,1000,1.700232000e-06,42.3472
0,ccc0391.campuscluster.illinois.edu,0,0,self,10,80,1000,1.697517000e-06,47.1277
0,ccc0391.campuscluster.illinois.edu,0,0,self,11,88,1000,1.730339000e-06,50.8571
0,ccc0391.campuscluster.illinois.edu,0,0,self,12,96,1000,1.736721000e-06,55.2766
0,ccc0391.campuscluster.illinois.edu,0,0,self,13,104,1000,1.760536000e-06,59.0729
0,ccc0391.campuscluster.illinois.edu,0,0,self,14,112,1000,1.757209000e-06,63.7374
0,ccc0391.campuscluster.illinois.edu,0,0,self,15,120,1000,1.765566000e-06,67.9669
0,ccc0391.campuscluster.illinois.edu,0,0,self,16,128,1000,1.760135000e-06,72.7217
0,ccc0391.campuscluster.illinois.edu,0,0,self,17,136,1000,1.771586000e-06,76.7674
0,ccc0391.campuscluster.illinois.edu,0,0,self,18,144,1000,1.770344000e-06,81.3401
0,ccc0391.campuscluster.illinois.edu,0,0,self,19,152,1000,1.789089000e-06,84.9594
0,ccc0391.campuscluster.illinois.edu,0,0,self,20,160,1000,1.798718000e-06,88.9522
0,ccc0391.campuscluster.illinois.edu,0,0,self,21,168,1000,1.836168000e-06,91.4949
0,ccc0391.campuscluster.illinois.edu,0,0,self,22,176,1000,1.837361000e-06,95.7896
0,ccc0391.campuscluster.illinois.edu,0,0,self,23,184,1000,2.528291000e-06,72.7764
0,ccc0391.campuscluster.illinois.edu,0,0,self,24,192,1000,2.518884000e-06,76.2242
0,ccc0391.campuscluster.illinois.edu,0,0,self,25,200,1000,2.517632000e-06,79.4397
0,ccc0391.campuscluster.illinois.edu,0,0,self,26,208,1000,2.534694000e-06,82.0612
