# P=64 nodes=1 M=63 msg_vol=100000 nsizes=500 host0=ccc0391.campuscluster.illinois.edu date=2026-09-12T00:27:34
partner,partner_host,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0391.campuscluster.illinois.edu,self,1,8,1000,7.523470000e-07,10.6334
0,ccc0391.campuscluster.illinois.edu,self,2,16,1000,6.365935000e-07,25.1338
0,ccc0391.campuscluster.illinois.edu,self,3,24,1000,7.015615000e-07,34.2094
0,ccc0391.campuscluster.illinois.edu,self,4,32,1000,7.089600000e-07,45.1365
0,ccc0391.campuscluster.illinois.edu,self,5,40,1000,7.105530000e-07,56.2942
0,ccc0391.campuscluster.illinois.edu,self,6,48,1000,7.214885000e-07,66.5291
0,ccc0391.campuscluster.illinois.edu,self,7,56,1000,8.460785000e-07,66.1877
0,ccc0391.campuscluster.illinois.edu,self,8,64,1000,8.621085000e-07,74.2366
0,ccc0391.campuscluster.illinois.edu,self,9,72,1000,8.702685000e-07,82.7331
0,ccc0391.campuscluster.illinois.edu,self,10,80,1000,8.572045000e-07,93.3266
0,ccc0391.campuscluster.illinois.edu,self,11,88,1000,8.595335000e-07,102.3811
0,ccc0391.campuscluster.illinois.edu,self,12,96,1000,8.724430000e-07,110.0358
0,ccc0391.campuscluster.illinois.edu,self,13,104,1000,8.847410000e-07,117.5485
0,ccc0391.campuscluster.illinois.edu,self,14,112,1000,8.884230000e-07,126.0661
0,ccc0391.campuscluster.illinois.edu,self,15,120,1000,8.822215000e-07,136.0203
0,ccc0391.campuscluster.illinois.edu,self,16,128,1000,8.912380000e-07,143.6204
0,ccc0391.campuscluster.illinois.edu,self,17,136,1000,8.977505000e-07,151.4898
0,ccc0391.campuscluster.illinois.edu,self,18,144,1000,8.997540000e-07,160.0437
0,ccc0391.campuscluster.illinois.edu,self,19,152,1000,9.077095000e-07,167.4545
0,ccc0391.campuscluster.illinois.edu,self,20,160,1000,9.048690000e-07,176.8212
0,ccc0391.campuscluster.illinois.edu,self,21,168,1000,9.282080000e-07,180.9939
0,ccc0391.campuscluster.illinois.edu,self,22,176,1000,9.298660000e-07,189.2746
0,ccc0391.campuscluster.illinois.edu,self,23,184,1000,1.275527000e-06,144.2541
0,ccc0391.campuscluster.illinois.edu,self,24,192,1000,1.272571500e-06,150.8756
0,ccc0391.campuscluster.illinois.edu,self,25,200,1000,1.278863000e-06,156.3889
0,ccc0391.campuscluster.illinois.edu,self,26,208,1000,1.273147500e-06,163.3746
0,ccc0391.campuscluster.illinois.edu,self,27,216,1000,1.280311000e-06,168.7090
0,ccc0391.campuscluster.illinois.edu,self,28,224,1000,1.277956500e-06,175.2798
0,ccc0391.campuscluster.illinois.edu,self,29,232,1000,1.290104500e-06,179.8304
0,ccc0391.campuscluster.illinois.edu,self,30,240,1000,1.293691000e-06,185.5157
0,ccc0391.campuscluster.illinois.edu,self,31,248,1000,1.284654000e-06,193.0481
0,ccc0391.campuscluster.illinois.edu,self,32,256,1000,1.297758500e-06,197.2632
0,ccc0391.campuscluster.illinois.edu,self,33,264,1000,1.299416500e-06,203.1681
0,ccc0391.campuscluster.illinois.edu,self,34,272,1000,1.310027000e-06,207.6293
0,ccc0391.campuscluster.illinois.edu,self,35,280,1000,1.308885000e-06,213.9225
0,ccc0391.campuscluster.illinois.edu,self,36,288,1000,1.304491500e-06,220.7757
0,ccc0391.campuscluster.illinois.edu,self,37,296,1000,1.330635500e-06,222.4501
0,ccc0391.campuscluster.illinois.edu,self,38,304,1000,1.334017000e-06,227.8832
0,ccc0391.campuscluster.illinois.edu,self,39,312,1000,1.326928500e-06,235.1295
0,ccc0391.campuscluster.illinois.edu,self,40,320,1000,1.329769000e-06,240.6433
0,ccc0391.campuscluster.illinois.edu,self,41,328,1000,1.340685000e-06,244.6511
0,ccc0391.campuscluster.illinois.edu,self,42,336,1000,1.342678000e-06,250.2461
0,ccc0391.campuscluster.illinois.edu,self,43,344,1000,1.339572500e-06,256.7983
0,ccc0391.campuscluster.illinois.edu,self,44,352,1000,1.343840500e-06,261.9358
0,ccc0391.campuscluster.illinois.edu,self,45,360,1000,1.491463500e-06,241.3737
0,ccc0391.campuscluster.illinois.edu,self,46,368,1000,1.425835000e-06,258.0944
0,ccc0391.campuscluster.illinois.edu,self,47,376,1000,1.428605500e-06,263.1937
0,ccc0391.campuscluster.illinois.edu,self,48,384,1000,1.429321500e-06,268.6589
0,ccc0391.campuscluster.illinois.edu,self,49,392,1000,1.418180500e-06,276.4105
0,ccc0391.campuscluster.illinois.edu,self,50,400,1000,1.418331000e-06,282.0216
0,ccc0391.campuscluster.illinois.edu,self,51,408,1000,1.421992500e-06,286.9213
0,ccc0391.campuscluster.illinois.edu,self,52,416,1000,1.422298500e-06,292.4843
0,ccc0391.campuscluster.illinois.edu,self,53,424,1000,1.532105000e-06,276.7434
0,ccc0391.campuscluster.illinois.edu,self,54,432,1000,1.417278500e-06,304.8095
0,ccc0391.campuscluster.illinois.edu,self,55,440,1000,1.431681000e-06,307.3310
0,ccc0391.campuscluster.illinois.edu,self,56,448,1000,1.517397500e-06,295.2423
0,ccc0391.campuscluster.illinois.edu,self,57,456,1000,1.408237000e-06,323.8091
0,ccc0391.campuscluster.illinois.edu,self,58,464,1000,1.409574500e-06,329.1774
0,ccc0391.campuscluster.illinois.edu,self,59,472,1000,1.413536500e-06,333.9143
0,ccc0391.campuscluster.illinois.edu,self,60,480,1000,1.410777000e-06,340.2380
0,ccc0391.campuscluster.illinois.edu,self,61,488,1000,1.426546000e-06,342.0850
0,ccc0391.campuscluster.illinois.edu,self,62,496,1000,1.434175500e-06,345.8433
0,ccc0391.campuscluster.illinois.edu,self,64,512,1000,1.430418500e-06,357.9372
0,ccc0391.campuscluster.illinois.edu,self,66,528,1000,1.437622500e-06,367.2730
0,ccc0391.campuscluster.illinois.edu,self,68,544,1000,1.443914000e-06,376.7537
0,ccc0391.campuscluster.illinois.edu,self,70,560,1000,1.460485000e-06,383.4343
0,ccc0391.campuscluster.illinois.edu,self,72,576,1000,1.463992000e-06,393.4448
0,ccc0391.campuscluster.illinois.edu,self,74,592,1000,1.474892500e-06,401.3852
0,ccc0391.campuscluster.illinois.edu,self,76,608,1000,1.483929500e-06,409.7230
0,ccc0391.campuscluster.illinois.edu,self,78,624,1000,1.503080500e-06,415.1474
0,ccc0391.campuscluster.illinois.edu,self,80,640,1000,1.504277500e-06,425.4534
0,ccc0391.campuscluster.illinois.edu,self,82,656,1000,1.507323500e-06,435.2085
0,ccc0391.campuscluster.illinois.edu,self,84,672,1000,1.511576500e-06,444.5690
0,ccc0391.campuscluster.illinois.edu,self,86,688,1000,1.536764000e-06,447.6940
0,ccc0391.campuscluster.illinois.edu,self,88,704,1000,1.540420500e-06,457.0181
0,ccc0391.campuscluster.illinois.edu,self,90,720,1000,1.543527000e-06,466.4641
0,ccc0391.campuscluster.illinois.edu,self,92,736,1000,1.548080000e-06,475.4276
0,ccc0391.campuscluster.illinois.edu,self,94,752,1000,1.571464500e-06,478.5345
0,ccc0391.campuscluster.illinois.edu,self,96,768,1000,1.565818500e-06,490.4783
0,ccc0391.campuscluster.illinois.edu,self,98,784,1000,1.572190500e-06,498.6673
0,ccc0391.campuscluster.illinois.edu,self,100,800,980,1.580568367e-06,506.1470
0,ccc0391.campuscluster.illinois.edu,self,102,816,961,1.601814256e-06,509.4224
0,ccc0391.campuscluster.illinois.edu,self,104,832,943,1.599502121e-06,520.1619
0,ccc0391.campuscluster.illinois.edu,self,106,848,925,1.605775135e-06,528.0939
0,ccc0391.campuscluster.illinois.edu,self,108,864,909,1.611174917e-06,536.2546
0,ccc0391.campuscluster.illinois.edu,self,110,880,892,1.629396861e-06,540.0771
0,ccc0391.campuscluster.illinois.edu,self,112,896,877,1.624330103e-06,551.6120
0,ccc0391.campuscluster.illinois.edu,self,114,912,862,1.683802784e-06,541.6311
0,ccc0391.campuscluster.illinois.edu,self,116,928,847,1.638072609e-06,566.5195
0,ccc0391.campuscluster.illinois.edu,self,118,944,833,1.911053421e-06,493.9684
0,ccc0391.campuscluster.illinois.edu,self,120,960,819,1.673407204e-06,573.6799
0,ccc0391.campuscluster.illinois.edu,self,122,976,806,1.672827543e-06,583.4433
0,ccc0391.campuscluster.illinois.edu,self,124,992,793,1.674597730e-06,592.3811
0,ccc0391.campuscluster.illinois.edu,self,127,1016,775,1.683609032e-06,603.4655
0,ccc0391.campuscluster.illinois.edu,self,130,1040,757,1.695147292e-06,613.5160
0,ccc0391.campuscluster.illinois.edu,self,133,1064,740,1.723576351e-06,617.3211
0,ccc0391.campuscluster.illinois.edu,self,136,1088,724,1.736439227e-06,626.5696
0,ccc0391.campuscluster.illinois.edu,self,139,1112,709,1.729180536e-06,643.0792
0,ccc0391.campuscluster.illinois.edu,self,142,1136,694,1.865342219e-06,609.0035
0,ccc0391.campuscluster.illinois.edu,self,145,1160,680,1.783859559e-06,650.2754
0,ccc0391.campuscluster.illinois.edu,self,148,1184,666,1.755272523e-06,674.5391
0,ccc0391.campuscluster.illinois.edu,self,151,1208,653,1.782936447e-06,677.5340
0,ccc0391.campuscluster.illinois.edu,self,154,1232,641,1.787898596e-06,689.0771
0,ccc0391.campuscluster.illinois.edu,self,157,1256,628,1.788710987e-06,702.1816
0,ccc0391.campuscluster.illinois.edu,self,160,1280,617,1.804029173e-06,709.5229
0,ccc0391.campuscluster.illinois.edu,self,163,1304,606,1.818209571e-06,717.1891
0,ccc0391.campuscluster.illinois.edu,self,166,1328,595,1.833208403e-06,724.4130
0,ccc0391.campuscluster.illinois.edu,self,169,1352,584,1.853696062e-06,729.3537
0,ccc0391.campuscluster.illinois.edu,self,172,1376,574,1.852033101e-06,742.9673
0,ccc0391.campuscluster.illinois.edu,self,175,1400,564,1.870552305e-06,748.4420
0,ccc0391.campuscluster.illinois.edu,self,178,1424,555,1.878537838e-06,758.0364
0,ccc0391.campuscluster.illinois.edu,self,181,1448,546,1.916255495e-06,755.6404
0,ccc0391.campuscluster.illinois.edu,self,184,1472,537,1.907661080e-06,771.6255
0,ccc0391.campuscluster.illinois.edu,self,187,1496,529,1.912514178e-06,782.2164
0,ccc0391.campuscluster.illinois.edu,self,191,1528,518,1.949907336e-06,783.6270
0,ccc0391.campuscluster.illinois.edu,self,195,1560,507,1.952029586e-06,799.1682
0,ccc0391.campuscluster.illinois.edu,self,199,1592,497,1.953456740e-06,814.9656
0,ccc0391.campuscluster.illinois.edu,self,203,1624,487,1.959656057e-06,828.7169
0,ccc0391.campuscluster.illinois.edu,self,207,1656,478,1.966201883e-06,842.2329
0,ccc0391.campuscluster.illinois.edu,self,211,1688,469,1.991447761e-06,847.6245
0,ccc0391.campuscluster.illinois.edu,self,215,1720,460,1.996705435e-06,861.4190
0,ccc0391.campuscluster.illinois.edu,self,219,1752,452,2.004582965e-06,873.9973
0,ccc0391.campuscluster.illinois.edu,self,223,1784,444,2.024408784e-06,881.2449
0,ccc0391.campuscluster.illinois.edu,self,227,1816,436,2.029579128e-06,894.7668
0,ccc0391.campuscluster.illinois.edu,self,231,1848,429,2.070613054e-06,892.4893
0,ccc0391.campuscluster.illinois.edu,self,235,1880,421,2.077439430e-06,904.9602
0,ccc0391.campuscluster.illinois.edu,self,239,1912,414,2.104033816e-06,908.7306
0,ccc0391.campuscluster.illinois.edu,self,243,1944,408,2.093661765e-06,928.5167
0,ccc0391.campuscluster.illinois.edu,self,247,1976,401,2.147372818e-06,920.1942
0,ccc0391.campuscluster.illinois.edu,self,251,2008,395,2.157251899e-06,930.8139
0,ccc0391.campuscluster.illinois.edu,self,256,2048,387,2.166922481e-06,945.1192
0,ccc0391.campuscluster.illinois.edu,self,261,2088,380,2.185535526e-06,955.3723
0,ccc0391.campuscluster.illinois.edu,self,266,2128,373,2.202323056e-06,966.2524
0,ccc0391.campuscluster.illinois.edu,self,271,2168,366,2.236931694e-06,969.1847
0,ccc0391.campuscluster.illinois.edu,self,276,2208,359,2.233006964e-06,988.8012
0,ccc0391.campuscluster.illinois.edu,self,281,2248,353,2.255565156e-06,996.6460
0,ccc0391.campuscluster.illinois.edu,self,286,2288,347,2.259701729e-06,1012.5230
0,ccc0391.campuscluster.illinois.edu,self,291,2328,341,2.269303519e-06,1025.8654
0,ccc0391.campuscluster.illinois.edu,self,296,2368,335,2.277722388e-06,1039.6350
0,ccc0391.campuscluster.illinois.edu,self,301,2408,330,2.323465152e-06,1036.3831
0,ccc0391.campuscluster.illinois.edu,self,306,2448,324,2.332060185e-06,1049.7156
0,ccc0391.campuscluster.illinois.edu,self,311,2488,319,2.358170846e-06,1055.0550
0,ccc0391.campuscluster.illinois.edu,self,316,2528,314,2.365727707e-06,1068.5930
0,ccc0391.campuscluster.illinois.edu,self,322,2576,308,2.382344156e-06,1081.2879
0,ccc0391.campuscluster.illinois.edu,self,328,2624,303,2.401750825e-06,1092.5363
0,ccc0391.campuscluster.illinois.edu,self,334,2672,297,2.433166667e-06,1098.1574
0,ccc0391.campuscluster.illinois.edu,self,340,2720,292,2.455873288e-06,1107.5490
0,ccc0391.campuscluster.illinois.edu,self,346,2768,287,2.488588850e-06,1112.2769
0,ccc0391.campuscluster.illinois.edu,self,352,2816,282,2.518572695e-06,1118.0936
0,ccc0391.campuscluster.illinois.edu,self,358,2864,277,2.550398917e-06,1122.9616
0,ccc0391.campuscluster.illinois.edu,self,364,2912,273,2.542957875e-06,1145.1232
0,ccc0391.campuscluster.illinois.edu,self,370,2960,268,2.549800373e-06,1160.8752
0,ccc0391.campuscluster.illinois.edu,self,376,3008,264,2.567598485e-06,1171.5227
0,ccc0391.campuscluster.illinois.edu,self,383,3064,259,2.602951737e-06,1177.1252
0,ccc0391.campuscluster.illinois.edu,self,390,3120,255,2.635000000e-06,1184.0607
0,ccc0391.campuscluster.illinois.edu,self,397,3176,250,2.652376000e-06,1197.4170
0,ccc0391.campuscluster.illinois.edu,self,404,3232,246,2.664510163e-06,1212.9809
0,ccc0391.campuscluster.illinois.edu,self,411,3288,242,2.695012397e-06,1220.0315
0,ccc0391.campuscluster.illinois.edu,self,418,3344,238,2.709703782e-06,1234.0832
0,ccc0391.campuscluster.illinois.edu,self,425,3400,234,2.748895299e-06,1236.8605
0,ccc0391.campuscluster.illinois.edu,self,432,3456,230,2.770847826e-06,1247.2717
0,ccc0391.campuscluster.illinois.edu,self,439,3512,226,2.803887168e-06,1252.5468
0,ccc0391.campuscluster.illinois.edu,self,447,3576,222,2.826358108e-06,1265.2325
